,A_W,A_L,A_G,A_SEED,A_RK,A_ADJEM,A_ADJOE,A_ADJOE_R,A_ADJDE,A_ADJDE_R,A_ADJ_T,A_ADJ_T_R,A_Luck,A_Luck_R,A_SOS,A_SOS_R,A_OppO,A_OppO_R,A_OppD,A_OppD_R,A_NCSOS,A_NCSOS_R,B_W,B_L,B_G,B_SEED,B_RK,B_ADJEM,B_ADJOE,B_ADJOE_R,B_ADJDE,B_ADJDE_R,B_ADJ_T,B_ADJ_T_R,B_Luck,B_Luck_R,B_SOS,B_SOS_R,B_OppO,B_OppO_R,B_OppD,B_OppD_R,B_NCSOS,B_NCSOS_R,result,year
10,23,9,32,6,37,16.03,109.8,66,93.7,25,66.6,220,0.088,12,7.89,42,107.9,36,100.0,53,-5.85,285,25,7,32,11,58,12.23,110.2,60,98.0,68,65.6,252,-0.019,200,-2.38,210,101.9,212,104.3,202,0.99,136,0,2002
11,28,8,36,11,49,13.45,109.2,73,95.7,33,70.6,71,0.034,86,2.11,119,105.2,105,103.1,148,3.16,86,23,9,32,6,31,17.24,114.6,21,97.4,59,69.8,96,0.061,36,6.69,55,106.8,50,100.2,61,-0.13,159,0,2002
12,29,6,35,10,14,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.0,77,102.9,141,2.99,90,23,9,32,7,38,15.8,107.9,88,92.1,13,66.0,241,0.047,64,7.11,51,107.8,38,100.7,73,0.53,149,0,2002
13,24,10,34,3,13,20.54,119.3,2,98.8,82,71.1,59,0.079,15,14.22,1,111.3,1,97.1,3,17.56,1,19,11,30,14,77,8.87,108.2,81,99.3,90,63.4,296,-0.058,284,0.45,146,103.1,175,102.6,134,3.37,82,0,2002
14,22,9,31,3,25,18.44,116.7,9,98.3,73,69.2,121,-0.021,206,9.87,17,108.1,30,98.2,12,3.3,83,17,13,30,14,146,1.35,106.8,106,105.5,215,69.2,122,0.017,115,-1.74,198,103.2,170,104.9,228,3.98,76,0,2002
15,22,10,32,4,10,22.21,113.4,29,91.2,9,68.0,169,-0.029,230,12.97,3,110.1,6,97.1,5,6.75,33,24,8,32,13,47,13.63,111.5,42,97.8,65,68.7,144,-0.032,239,-1.66,196,102.9,183,104.6,216,2.05,110,0,2002
16,32,4,36,1,3,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,17,19,36,16,174,-1.21,100.8,201,102.0,141,66.5,223,-0.07,296,-4.14,237,100.1,246,104.2,199,-0.42,167,0,2002
17,22,12,34,6,27,17.69,116.0,15,98.3,74,68.5,150,-0.021,208,10.18,15,109.1,14,98.9,23,5.3,50,20,12,32,11,71,9.97,109.4,70,99.4,91,69.1,128,0.04,75,6.41,58,105.3,102,98.9,22,-2.77,230,0,2002
18,27,8,35,2,22,18.73,114.0,24,95.3,32,68.0,170,0.076,21,8.59,29,107.1,46,98.5,15,-1.56,206,18,12,30,15,191,-2.5,99.6,220,102.1,142,70.2,82,0.06,38,-4.94,247,101.9,213,106.9,289,-4.52,267,0,2002
19,26,9,35,4,8,23.21,115.7,17,92.5,16,68.5,153,0.016,123,10.6,11,109.7,9,99.1,29,6.78,32,21,12,33,13,74,9.29,106.9,104,97.6,62,70.0,93,0.055,46,5.64,70,106.7,53,101.1,82,0.67,144,0,2002
20,31,4,35,1,1,34.19,121.0,1,86.8,1,74.5,8,-0.027,223,9.87,18,109.1,13,99.2,31,6.66,34,17,12,29,16,219,-5.31,97.3,258,102.6,155,65.9,243,0.038,79,-10.73,311,97.0,313,107.7,304,-0.98,188,0,2002
21,22,9,31,11,67,11.01,107.8,91,96.7,50,69.0,136,0.032,92,3.51,100,105.5,94,102.0,109,-5.47,282,28,4,32,6,24,18.51,115.6,18,97.1,53,68.5,155,0.049,61,1.12,133,103.7,147,102.6,130,4.04,75,0,2002
22,24,12,36,12,29,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108.0,34,100.0,54,-0.39,166,24,8,32,5,39,15.77,110.5,56,94.7,30,69.1,129,0.017,118,5.75,67,105.0,109,99.3,32,-5.03,273,0,2002
23,25,12,37,5,6,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,19,9,28,12,45,14.08,111.4,44,97.3,57,62.1,314,0.01,140,5.38,73,106.2,74,100.8,75,1.57,123,0,2002
24,23,9,32,12,59,11.82,111.3,47,99.5,92,66.9,213,0.029,99,1.39,129,104.8,113,103.4,167,0.94,138,22,9,31,5,7,24.72,115.1,19,90.4,8,69.6,103,-0.073,300,9.11,23,108.1,29,99.0,25,-0.56,173,0,2002
25,26,7,33,12,41,15.59,116.0,16,100.4,107,69.5,110,0.001,169,2.03,122,103.7,151,101.7,100,-1.44,202,26,7,33,5,11,21.47,113.4,30,91.9,11,64.6,281,0.006,155,5.41,72,105.5,92,100.1,60,-2.87,233,0,2002
26,33,4,37,1,4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.66,10,110.3,4,99.6,40,8.32,23,18,15,33,16,162,-0.24,98.1,245,98.4,75,62.2,313,-0.048,268,-6.4,264,99.5,261,105.9,262,-3.38,246,0,2002
27,21,11,32,8,19,19.27,116.1,14,96.8,52,68.6,149,-0.087,307,7.33,47,105.4,98,98.1,8,-1.55,205,18,12,30,9,40,15.73,114.2,23,98.5,77,66.8,214,-0.008,185,9.23,22,107.3,43,98.1,9,6.48,36,0,2002
28,27,7,34,2,18,19.36,112.2,38,92.8,18,68.7,143,0.063,31,8.18,34,107.3,44,99.1,26,1.72,118,25,7,32,15,116,3.99,109.9,64,105.9,227,69.1,127,0.013,133,-8.67,291,98.3,285,107.0,292,0.87,141,0,2002
29,20,10,30,8,15,20.32,116.6,10,96.3,41,69.5,106,-0.02,205,10.33,13,110.2,5,99.8,48,2.11,107,26,4,30,9,44,14.51,110.5,55,96.0,36,67.5,192,0.06,40,0.23,150,103.1,177,102.8,138,0.29,153,0,2002
30,31,4,35,1,2,30.19,118.1,7,87.9,3,67.4,194,0.002,165,6.58,57,106.3,66,99.7,42,3.48,80,22,10,32,16,194,-2.74,101.3,192,104.0,187,64.5,282,0.102,7,-9.18,299,97.5,305,106.6,284,0.25,154,0,2002
31,18,13,31,8,50,13.22,110.7,53,97.5,61,63.3,299,0.049,60,10.57,12,108.9,16,98.3,14,8.49,22,20,12,32,9,76,9.06,102.7,170,93.6,24,69.1,125,0.089,11,6.4,59,106.5,61,100.1,57,-0.79,181,0,2002
32,29,6,35,3,16,19.94,112.1,39,92.2,15,63.8,293,0.0,172,3.12,103,103.7,150,100.6,71,-12.06,325,27,5,32,14,150,0.93,100.6,202,99.7,96,64.0,291,0.137,3,-11.95,318,97.4,307,109.3,323,-4.99,271,0,2002
33,24,10,34,3,13,20.54,119.3,2,98.8,82,71.1,59,0.079,15,14.22,1,111.3,1,97.1,3,17.56,1,22,9,31,11,67,11.01,107.8,91,96.7,50,69.0,136,0.032,92,3.51,100,105.5,94,102.0,109,-5.47,282,0,2002
34,22,10,32,4,10,22.21,113.4,29,91.2,9,68.0,169,-0.029,230,12.97,3,110.1,6,97.1,5,6.75,33,26,7,33,12,41,15.59,116.0,16,100.4,107,69.5,110,0.001,169,2.03,122,103.7,151,101.7,100,-1.44,202,0,2002
35,24,12,36,12,29,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108.0,34,100.0,54,-0.39,166,24,8,32,4,17,19.76,116.4,11,96.6,47,66.8,215,0.005,159,7.51,46,106.6,58,99.1,27,-1.26,196,0,2002
36,27,7,34,2,18,19.36,112.2,38,92.8,18,68.7,143,0.063,31,8.18,34,107.3,44,99.1,26,1.72,118,23,11,34,7,21,19.15,113.2,33,94.0,26,67.5,193,0.012,136,8.27,31,108.6,20,100.4,65,-5.56,283,0,2002
37,26,9,35,2,9,22.97,119.2,3,96.3,40,71.1,61,-0.041,255,8.15,36,108.1,31,99.9,50,-3.3,245,21,13,34,7,30,17.35,118.6,6,101.3,126,69.5,108,0.006,156,11.24,9,109.1,12,97.9,7,5.85,44,0,2002
38,26,9,35,4,8,23.21,115.7,17,92.5,16,68.5,153,0.016,123,10.6,11,109.7,9,99.1,29,6.78,32,23,9,32,12,59,11.82,111.3,47,99.5,92,66.9,213,0.029,99,1.39,129,104.8,113,103.4,167,0.94,138,0,2002
39,29,6,35,3,16,19.94,112.1,39,92.2,15,63.8,293,0.0,172,3.12,103,103.7,150,100.6,71,-12.06,325,23,9,32,6,37,16.03,109.8,66,93.7,25,66.6,220,0.088,12,7.89,42,107.9,36,100.0,53,-5.85,285,0,2002
40,32,4,36,1,3,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,18,13,31,8,50,13.22,110.7,53,97.5,61,63.3,299,0.049,60,10.57,12,108.9,16,98.3,14,8.49,22,0,2002
41,22,12,34,6,27,17.69,116.0,15,98.3,74,68.5,150,-0.021,208,10.18,15,109.1,14,98.9,23,5.3,50,27,8,35,3,26,18.25,111.4,43,93.1,20,67.9,174,0.107,6,8.93,25,106.7,56,97.7,6,-0.96,187,0,2002
42,28,8,36,11,49,13.45,109.2,73,95.7,33,70.6,71,0.034,86,2.11,119,105.2,105,103.1,148,3.16,86,22,9,31,3,25,18.44,116.7,9,98.3,73,69.2,121,-0.021,206,9.87,17,108.1,30,98.2,12,3.3,83,0,2002
43,29,6,35,10,14,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.0,77,102.9,141,2.99,90,27,8,35,2,22,18.73,114.0,24,95.3,32,68.0,170,0.076,21,8.59,29,107.1,46,98.5,15,-1.56,206,0,2002
44,31,4,35,1,1,34.19,121.0,1,86.8,1,74.5,8,-0.027,223,9.87,18,109.1,13,99.2,31,6.66,34,21,11,32,8,19,19.27,116.1,14,96.8,52,68.6,149,-0.087,307,7.33,47,105.4,98,98.1,8,-1.55,205,0,2002
45,31,5,36,2,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,26,6,32,7,23,18.6,111.2,48,92.6,17,67.0,206,0.051,54,5.09,76,106.7,55,101.6,95,5.37,47,0,2002
46,25,12,37,5,6,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,23,10,33,13,65,11.32,107.4,98,96.1,37,63.9,292,-0.003,173,0.83,141,103.2,169,102.4,119,4.56,65,0,2002
47,33,4,37,1,4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.66,10,110.3,4,99.6,40,8.32,23,20,10,30,8,15,20.32,116.6,10,96.3,41,69.5,106,-0.02,205,10.33,13,110.2,5,99.8,48,2.11,107,0,2002
48,21,12,33,8,35,16.34,113.7,27,97.3,58,68.1,167,0.048,62,12.0,6,110.1,7,98.1,10,8.58,20,31,4,35,1,2,30.19,118.1,7,87.9,3,67.4,194,0.002,165,6.58,57,106.3,66,99.7,42,3.48,80,0,2002
49,24,12,36,12,29,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108.0,34,100.0,54,-0.39,166,21,12,33,8,35,16.34,113.7,27,97.3,58,68.1,167,0.048,62,12.0,6,110.1,7,98.1,10,8.58,20,0,2002
50,31,5,36,2,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,24,10,34,3,13,20.54,119.3,2,98.8,82,71.1,59,0.079,15,14.22,1,111.3,1,97.1,3,17.56,1,0,2002
51,32,4,36,1,3,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,22,10,32,4,10,22.21,113.4,29,91.2,9,68.0,169,-0.029,230,12.97,3,110.1,6,97.1,5,6.75,33,0,2002
52,26,9,35,2,9,22.97,119.2,3,96.3,40,71.1,61,-0.041,255,8.15,36,108.1,31,99.9,50,-3.3,245,22,12,34,6,27,17.69,116.0,15,98.3,74,68.5,150,-0.021,208,10.18,15,109.1,14,98.9,23,5.3,50,0,2002
53,27,7,34,2,18,19.36,112.2,38,92.8,18,68.7,143,0.063,31,8.18,34,107.3,44,99.1,26,1.72,118,28,8,36,11,49,13.45,109.2,73,95.7,33,70.6,71,0.034,86,2.11,119,105.2,105,103.1,148,3.16,86,0,2002
54,25,12,37,5,6,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,31,4,35,1,1,34.19,121.0,1,86.8,1,74.5,8,-0.027,223,9.87,18,109.1,13,99.2,31,6.66,34,0,2002
55,33,4,37,1,4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.66,10,110.3,4,99.6,40,8.32,23,26,9,35,4,8,23.21,115.7,17,92.5,16,68.5,153,0.016,123,10.6,11,109.7,9,99.1,29,6.78,32,0,2002
56,29,6,35,10,14,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.0,77,102.9,141,2.99,90,29,6,35,3,16,19.94,112.1,39,92.2,15,63.8,293,0.0,172,3.12,103,103.7,150,100.6,71,-12.06,325,0,2002
57,31,5,36,2,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,24,12,36,12,29,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108.0,34,100.0,54,-0.39,166,0,2002
58,32,4,36,1,3,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,27,7,34,2,18,19.36,112.2,38,92.8,18,68.7,143,0.063,31,8.18,34,107.3,44,99.1,26,1.72,118,0,2002
59,25,12,37,5,6,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,29,6,35,10,14,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.0,77,102.9,141,2.99,90,0,2002
60,33,4,37,1,4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.66,10,110.3,4,99.6,40,8.32,23,26,9,35,2,9,22.97,119.2,3,96.3,40,71.1,61,-0.041,255,8.15,36,108.1,31,99.9,50,-3.3,245,0,2002
61,32,4,36,1,3,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,33,4,37,1,4,28.99,118.7,5,89.7,6,77.3,3,0.022,109,10.66,10,110.3,4,99.6,40,8.32,23,0,2002
62,25,12,37,5,6,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,31,5,36,2,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,0,2002
63,32,4,36,1,3,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,25,12,37,5,6,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,0,2002
64,14,17,31,16,283,-12.35,101.2,187,113.5,319,68.0,118,0.119,5,-6.45,272,98.3,272,104.7,262,11.61,11,18,13,31,16,260,-10.45,98.3,238,108.7,281,68.4,104,0.037,75,-12.96,321,94.4,322,107.4,314,-8.09,308,0,2003
65,22,11,33,6,28,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,95.9,1,2.97,87,24,7,31,11,55,11.76,110.3,40,98.6,96,67.8,125,0.063,39,1.97,124,103.5,129,101.5,120,3.35,79,0,2003
66,19,11,30,9,27,17.42,107.0,87,89.6,11,69.3,71,-0.012,194,9.53,17,107.6,6,98.0,36,4.87,55,21,11,32,8,23,18.15,111.0,33,92.8,24,67.5,140,-0.035,262,6.27,67,104.8,80,98.6,55,-8.36,311,0,2003
67,27,6,33,12,31,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,21,10,31,5,14,21.53,107.4,79,85.8,1,64.8,263,-0.06,290,8.85,27,106.9,23,98.0,34,-2.62,218,0,2003
68,25,8,33,9,44,14.04,106.6,91,92.6,23,62.1,308,0.069,32,5.24,75,106.7,29,101.5,119,1.55,117,23,10,33,8,42,14.25,111.4,29,97.1,73,71.2,28,0.032,87,5.23,76,105.1,73,99.8,85,-4.45,262,0,2003
69,22,12,34,10,46,13.63,107.7,74,94.1,31,66.6,181,0.051,52,8.22,39,106.0,55,97.8,27,-4.71,267,23,7,30,7,17,20.75,109.0,58,88.3,6,64.1,281,-0.049,279,4.6,88,105.0,74,100.4,95,5.8,43,0,2003
70,25,6,31,2,21,19.87,114.5,15,94.6,37,67.7,130,0.073,25,7.83,44,105.8,58,98.0,35,-3.8,249,17,11,28,15,147,1.75,101.3,186,99.6,116,75.2,3,0.036,76,-1.8,188,102.1,169,103.9,219,4.8,57,0,2003
71,27,7,34,1,9,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,30,97.7,25,-2.32,214,20,11,31,16,244,-8.59,96.4,260,105.0,221,71.7,21,0.115,6,-12.27,318,95.2,317,107.5,315,-0.55,165,0,2003
72,25,7,32,11,70,10.01,109.5,51,99.4,113,71.7,20,0.137,3,2.06,122,104.3,102,102.3,152,2.86,89,29,5,34,6,26,17.54,112.4,24,94.9,40,68.4,103,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,0,2003
73,22,9,31,8,47,13.59,109.9,45,96.3,63,65.9,208,0.061,42,7.06,57,106.7,31,99.6,79,0.3,147,18,13,31,9,50,13.18,111.2,30,98.1,88,65.0,257,-0.023,223,8.48,34,106.9,22,98.4,49,-6.48,292,0,2003
74,22,10,32,6,25,17.67,105.9,100,88.2,5,66.7,177,0.003,157,9.08,22,106.3,44,97.2,15,-1.17,183,22,6,28,11,48,13.35,110.3,41,96.9,68,63.3,290,0.035,82,-1.53,182,100.4,221,101.9,132,3.49,71,0,2003
75,30,5,35,3,8,23.28,114.4,17,91.1,14,71.0,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,23,7,30,14,68,10.04,105.5,106,95.4,52,68.1,117,0.014,125,-1.71,184,101.7,182,103.4,202,2.52,94,0,2003
76,28,4,32,1,4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,52,8.19,26,19,11,30,16,150,1.57,101.1,191,99.5,114,64.4,271,0.019,119,-5.14,251,99.3,249,104.4,245,-2.29,213,0,2003
77,23,10,33,13,51,13.04,107.9,70,94.9,41,67.4,150,-0.061,291,1.05,139,102.7,155,101.7,124,4.16,62,24,6,30,4,40,14.53,116.4,8,101.9,161,64.4,270,0.084,14,4.91,83,104.4,99,99.5,75,5.51,47,0,2003
78,20,12,32,10,30,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,26,5.43,50,23,7,30,7,29,16.72,110.9,35,94.1,33,68.3,109,0.005,151,4.83,84,103.4,133,98.6,54,3.33,81,0,2003
79,32,4,36,1,1,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,19,14,33,16,161,0.46,102.9,153,102.5,171,67.0,164,0.071,27,-2.19,201,102.6,157,104.8,265,2.79,90,0,2003
80,21,10,31,6,13,22.0,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,36,98.4,47,-5.29,282,24,7,31,11,37,14.62,109.5,49,94.9,43,64.1,279,-0.031,248,-2.47,209,99.2,252,101.7,127,-0.81,173,0,2003
81,26,7,33,1,7,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.7,7,2.16,104,14,17,31,16,283,-12.35,101.2,187,113.5,319,68.0,118,0.119,5,-6.45,272,98.3,272,104.7,262,11.61,11,0,2003
82,25,7,32,4,10,22.75,115.8,9,93.0,25,72.5,12,-0.029,241,6.8,61,105.4,67,98.6,56,6.01,39,20,8,28,13,135,2.65,100.7,197,98.0,86,64.4,273,0.171,1,-0.97,170,104.2,109,105.1,279,7.41,27,0,2003
83,25,7,32,4,5,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,60,98.5,53,-4.18,257,24,9,33,13,56,11.75,108.0,65,96.3,61,67.2,156,0.035,78,1.09,138,103.1,143,102.0,137,2.09,107,0,2003
84,26,7,33,3,6,23.75,115.0,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,17,14,31,14,104,5.96,110.6,37,104.6,205,67.1,162,0.031,88,4.39,89,104.6,86,100.2,92,-3.45,235,0,2003
85,26,6,32,3,20,19.88,113.8,19,94.0,29,67.7,131,0.018,120,4.79,86,105.0,75,100.2,90,4.81,56,25,6,31,14,99,6.15,106.9,88,100.8,140,70.3,47,0.105,9,-5.2,253,99.3,251,104.5,248,-2.77,222,0,2003
86,21,13,34,7,41,14.48,113.4,20,98.9,102,63.7,284,0.05,57,10.49,8,107.2,13,96.8,8,9.29,20,17,12,29,10,38,14.6,110.3,39,95.7,54,65.3,243,-0.015,205,9.55,16,106.6,32,97.1,11,2.31,102,0,2003
87,28,5,33,2,3,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.08,56,105.5,66,98.4,48,-8.24,310,21,11,32,15,179,-1.16,104.7,118,105.9,238,67.6,134,0.049,61,-7.45,282,98.9,261,106.3,294,2.39,99,0,2003
88,25,8,33,2,11,22.14,116.5,6,94.4,36,65.0,256,0.008,140,8.3,36,105.9,56,97.6,24,-0.9,174,21,7,28,15,157,0.82,101.5,179,100.6,136,67.2,158,0.088,13,-7.41,280,97.0,296,104.4,246,-2.0,204,0,2003
89,27,6,33,3,15,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,25,5,30,14,66,10.4,105.5,107,95.1,45,65.1,250,0.065,37,-5.57,260,99.0,258,104.5,252,-0.64,170,0,2003
90,22,13,35,7,19,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,13,3.2,83,20,12,32,10,34,15.27,109.1,56,93.8,28,69.9,56,0.001,162,9.02,23,106.9,24,97.8,30,0.22,151,0,2003
91,30,8,38,2,2,28.62,115.0,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,22,9,31,15,88,7.41,107.1,85,99.7,117,61.0,315,0.003,159,-2.0,193,101.1,198,103.1,188,-0.07,155,0,2003
92,24,10,34,5,18,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.01,6,107.4,9,96.3,5,3.78,65,23,8,31,12,52,12.97,109.0,60,96.0,59,71.2,31,0.025,101,2.06,121,104.8,79,102.8,172,1.05,130,0,2003
93,23,10,33,5,22,19.54,111.6,26,92.0,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.48,237,23,9,32,12,24,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.3,11,101.8,130,5.2,52,0,2003
94,24,9,33,4,39,14.57,109.8,46,95.2,49,65.6,226,0.066,35,7.26,53,106.2,46,98.9,63,3.75,66,17,12,29,13,80,8.32,104.7,119,96.4,64,70.9,34,0.003,160,3.37,100,104.8,81,101.4,113,6.03,37,0,2003
95,24,9,33,9,33,15.58,113.2,21,97.7,82,66.9,170,-0.021,220,3.92,93,104.0,115,100.1,87,5.83,42,17,12,29,8,36,14.69,105.0,116,90.3,13,66.4,188,-0.066,297,7.32,51,106.6,33,99.3,68,3.65,68,0,2003
96,24,8,32,5,12,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,52,99.6,80,-1.01,179,25,5,30,12,76,8.88,111.4,28,102.5,172,66.5,186,0.073,26,-1.73,185,100.5,219,102.2,151,1.29,124,0,2003
97,26,7,33,3,6,23.75,115.0,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,25,7,32,11,70,10.01,109.5,51,99.4,113,71.7,20,0.137,3,2.06,122,104.3,102,102.3,152,2.86,89,0,2003
98,27,6,33,3,15,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,22,11,33,6,28,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,95.9,1,2.97,87,0,2003
99,27,6,33,12,31,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,25,7,32,4,10,22.75,115.8,9,93.0,25,72.5,12,-0.029,241,6.8,61,105.4,67,98.6,56,6.01,39,0,2003
