team1,team1score,team1seed,team2,team2score,team2seed,result,year,round
Gonzaga,83,1,Baylor,71,9,0,2019,2
Murray St.,62,12,Florida St.,90,4,1,2019,2
Buffalo,58,6,Texas Tech,78,3,1,2019,2
Florida,49,10,Michigan,64,2,1,2019,2
Gonzaga,72,1,Florida St.,58,4,0,2019,3
Texas Tech,63,3,Michigan,44,2,0,2019,3
Gonzaga,69,1,Texas Tech,75,3,1,2019,4
North Carolina,88,1,Iona,73,16,0,2019,1
Utah St.,61,8,Washington,78,9,1,2019,1
Auburn,78,5,New Mexico St.,77,12,0,2019,1
Kansas,87,4,Northeastern,53,13,0,2019,1
Iowa St.,59,6,Ohio St.,62,11,1,2019,1
Houston,84,3,Georgia St.,55,14,0,2019,1
Wofford,84,7,Seton Hall,68,10,0,2019,1
Kentucky,79,2,Abilene Christian,44,15,0,2019,1
North Carolina,81,1,Washington,59,9,0,2019,2
Auburn,89,5,Kansas,75,4,0,2019,2
Ohio St.,59,11,Houston,74,3,1,2019,2
Wofford,56,7,Kentucky,62,2,1,2019,2
North Carolina,80,1,Auburn,97,5,1,2019,3
Houston,58,3,Kentucky,62,2,1,2019,3
Auburn,77,5,Kentucky,71,2,0,2019,4
Prairie View,76,16,FDU,82,16,1,2019,0
Belmont,81,11,Temple,70,11,0,2019,0
North Dakota St.,78,16,N.C. Central,74,16,0,2019,0
Arizona St.,74,11,St. John's (NY),65,11,0,2019,0
Gonzaga,98,1,NSU/APPST,55,16,0,2021,1
Oklahoma,72,8,Missouri,68,9,0,2021,1
Creighton,63,5,UC Santa Barbara,62,12,0,2021,1
Virginia,58,4,Ohio,62,13,1,2021,1
Southern California,72,6,WSU/DRAKE,56,11,0,2021,1
Kansas,93,3,Eastern Wash.,84,14,0,2021,1
Oregon,75,7,VCU,70,10,0,2021,1
Iowa,86,2,Grand Canyon,74,15,0,2021,1
Gonzaga,87,1,Oklahoma,71,8,0,2021,2
Creighton,72,5,Ohio,58,13,0,2021,2
Southern California,85,6,Kansas,51,3,0,2021,2
Oregon,95,7,Iowa,80,2,0,2021,2
Gonzaga,83,1,Creighton,65,5,0,2021,3
Southern California,82,6,Oregon,68,7,0,2021,3
Gonzaga,85,1,Southern California,66,6,0,2021,4
Baylor,79,1,Hartford,55,16,0,2021,1
North Carolina,62,8,Wisconsin,85,9,1,2021,1
Villanova,73,5,Winthrop,63,12,0,2021,1
Purdue,69,4,North Texas,78,13,1,2021,1
Texas Tech,65,6,Utah St.,53,11,0,2021,1
Arkansas,85,3,Colgate,68,14,0,2021,1
Florida,75,7,Virginia Tech,70,10,0,2021,1
Ohio St.,72,2,Oral Roberts,75,15,1,2021,1
Baylor,76,1,Wisconsin,63,9,0,2021,2
Villanova,84,5,North Texas,61,13,0,2021,2
Texas Tech,66,6,Arkansas,68,3,1,2021,2
Florida,78,7,Oral Roberts,81,15,1,2021,2
Baylor,62,1,Villanova,51,5,0,2021,3
Arkansas,72,3,Oral Roberts,70,15,0,2021,3
Baylor,81,1,Arkansas,72,3,0,2021,4
Gonzaga,93,1,UCLA,90,11,0,2021,5
Gonzaga,70,1,Baylor,86,1,1,2021,6
Baylor,78,1,Houston,59,2,0,2021,5
Michigan,82,1,MSM/TXSO,66,16,0,2021,1
LSU,76,8,St. Bonaventure,61,9,0,2021,1
Colorado,96,5,Georgetown,73,12,0,2021,1
Florida St.,64,4,UNC Greensboro,54,13,0,2021,1
BYU,62,6,MSU/UCLA,73,11,1,2021,1
Texas,52,3,Abilene Christian,53,14,1,2021,1
UConn,54,7,Maryland,63,10,1,2021,1
Alabama,68,2,Iona,55,15,0,2021,1
Michigan,86,1,LSU,78,8,0,2021,2
Colorado,53,5,Florida St.,71,4,1,2021,2
UCLA,67,11,Abilene Christian,47,14,0,2021,2
Maryland,77,10,Alabama,96,2,1,2021,2
Michigan,76,1,Florida St.,58,4,0,2021,3
UCLA,88,11,Alabama,78,2,0,2021,3
Michigan,49,1,UCLA,51,11,1,2021,4
Illinois,78,1,Drexel,49,16,0,2021,1
Loyola Chicago,71,8,Georgia Tech,60,9,0,2021,1
Tennessee,56,5,Oregon St.,70,12,1,2021,1
Oklahoma St.,69,4,Liberty,60,13,0,2021,1
San Diego St.,62,6,Syracuse,78,11,1,2021,1
West Virginia,84,3,Morehead St.,67,14,0,2021,1
Clemson,56,7,Rutgers,60,10,1,2021,1
Houston,87,2,Cleveland St.,56,15,0,2021,1
Illinois,58,1,Loyola Chicago,71,8,1,2021,2
Oregon St.,80,12,Oklahoma St.,70,4,0,2021,2
Syracuse,75,11,West Virginia,72,3,0,2021,2
Rutgers,60,10,Houston,63,2,1,2021,2
Loyola Chicago,58,8,Oregon St.,65,12,1,2021,3
Syracuse,46,11,Houston,62,2,1,2021,3
Oregon St.,61,12,Houston,67,2,1,2021,4
Norfolk St.,54,16,App State,53,16,0,2021,0
Wichita St.,52,11,Drake,53,11,1,2021,0
Mount St. Mary's,52,16,Texas Southern,60,16,1,2021,0
Michigan St.,80,11,UCLA,86,11,1,2021,0
Gonzaga,93,1,Georgia St.,72,16,0,2022,1
Boise St.,53,8,Memphis,64,9,1,2022,1
UConn,63,5,New Mexico St.,70,12,1,2022,1
Arkansas,75,4,Vermont,71,13,0,2022,1
Alabama,64,6,Notre Dame,78,11,1,2022,1
Texas Tech,97,3,Montana St.,62,14,0,2022,1
Michigan St.,74,7,Davidson,73,10,0,2022,1
Duke,78,2,Cal State Fullerton,61,15,0,2022,1
Gonzaga,82,1,Memphis,78,9,0,2022,2
New Mexico St.,48,12,Arkansas,53,4,1,2022,2
Notre Dame,53,11,Texas Tech,59,3,1,2022,2
Michigan St.,76,7,Duke,85,2,1,2022,2
Gonzaga,68,1,Arkansas,74,4,1,2022,3
Texas Tech,73,3,Duke,78,2,1,2022,3
Arkansas,69,4,Duke,78,2,1,2022,4
Arizona,87,1,Wright St.,70,16,0,2022,1
Seton Hall,42,8,TCU,69,9,1,2022,1
Houston,82,5,UAB,68,12,0,2022,1
Illinois,54,4,Chattanooga,53,13,0,2022,1
Colorado St.,63,6,Michigan,75,11,1,2022,1
Tennessee,88,3,Longwood,56,14,0,2022,1
Ohio St.,54,7,Loyola Chicago,41,10,0,2022,1
Villanova,80,2,Delaware,60,15,0,2022,1
Arizona,85,1,TCU,80,9,0,2022,2
Houston,68,5,Illinois,53,4,0,2022,2
Michigan,76,11,Tennessee,68,3,0,2022,2
Ohio St.,61,7,Villanova,71,2,1,2022,2
Arizona,60,1,Houston,72,5,1,2022,3
Michigan,55,11,Villanova,63,2,1,2022,3
Houston,44,5,Villanova,50,2,1,2022,4
Duke,77,2,North Carolina,81,8,1,2022,5
North Carolina,69,8,Kansas,72,1,1,2022,6
Villanova,65,2,Kansas,81,1,1,2022,5
Baylor,85,1,Norfolk St.,49,16,0,2022,1
North Carolina,95,8,Marquette,63,9,0,2022,1
Saint Mary's (CA),82,5,Indiana,53,12,0,2022,1
UCLA,57,4,Akron,53,13,0,2022,1
Texas,81,6,Virginia Tech,73,11,0,2022,1
Purdue,78,3,Yale,56,14,0,2022,1
Murray St.,92,7,San Francisco,87,10,0,2022,1
Kentucky,79,2,Saint Peter's,85,15,1,2022,1
Baylor,86,1,North Carolina,93,8,1,2022,2
Saint Mary's (CA),56,5,UCLA,72,4,1,2022,2
Texas,71,6,Purdue,81,3,1,2022,2
Murray St.,60,7,Saint Peter's,70,15,1,2022,2
North Carolina,73,8,UCLA,66,4,0,2022,3
Purdue,64,3,Saint Peter's,67,15,1,2022,3
North Carolina,69,8,Saint Peter's,49,15,0,2022,4
Kansas,83,1,Texas Southern,56,16,0,2022,1
San Diego St.,69,8,Creighton,72,9,1,2022,1
Iowa,63,5,Richmond,67,12,1,2022,1
Providence,66,4,South Dakota St.,57,13,0,2022,1
LSU,54,6,Iowa St.,59,11,1,2022,1
Wisconsin,67,3,Colgate,60,14,0,2022,1
Southern California,66,7,Miami (FL),68,10,1,2022,1
Auburn,80,2,Jacksonville St.,61,15,0,2022,1
Kansas,79,1,Creighton,72,9,0,2022,2
Richmond,51,12,Providence,79,4,1,2022,2
Iowa St.,54,11,Wisconsin,49,3,0,2022,2
Miami (FL),79,10,Auburn,61,2,0,2022,2
Kansas,66,1,Providence,61,4,0,2022,3
Iowa St.,56,11,Miami (FL),70,10,1,2022,3
Kansas,76,1,Miami (FL),50,10,0,2022,4
Texas Southern,76,16,A&amp;M-Corpus Christi,67,16,0,2022,0
Wyoming,58,12,Indiana,66,12,1,2022,0
Wright St.,93,16,Bryant,82,16,0,2022,0
Rutgers,87,11,Notre Dame,89,11,1,2022,0
Alabama,96,1,A&amp;M-Corpus Christi,75,16,0,2023,1
Maryland,67,8,West Virginia,65,9,0,2023,1
San Diego St.,63,5,Col. of Charleston,57,12,0,2023,1
Virginia,67,4,Furman,68,13,1,2023,1
Creighton,72,6,NC State,63,11,0,2023,1
Baylor,74,3,UC Santa Barbara,56,14,0,2023,1
Missouri,76,7,Utah St.,65,10,0,2023,1
Arizona,55,2,Princeton,59,15,1,2023,1
Alabama,73,1,Maryland,51,8,0,2023,2
San Diego St.,75,5,Furman,52,13,0,2023,2
Creighton,85,6,Baylor,76,3,0,2023,2
Missouri,63,7,Princeton,78,15,1,2023,2
Alabama,64,1,San Diego St.,71,5,1,2023,3
Creighton,86,6,Princeton,75,15,0,2023,3
San Diego St.,57,5,Creighton,56,6,0,2023,4
Houston,63,1,Northern Ky.,52,16,0,2023,1
Iowa,75,8,Auburn,83,9,1,2023,1
Miami (FL),63,5,Drake,56,12,0,2023,1
Indiana,71,4,Kent St.,60,13,0,2023,1
Iowa St.,41,6,Pittsburgh,59,11,1,2023,1
Xavier,72,3,Kennesaw St.,67,14,0,2023,1
Texas A&amp;M,59,7,Penn St.,76,10,1,2023,1
Texas,81,2,Colgate,61,15,0,2023,1
Houston,81,1,Auburn,64,9,0,2023,2
Miami (FL),85,5,Indiana,69,4,0,2023,2
Pittsburgh,73,11,Xavier,84,3,1,2023,2
Penn St.,66,10,Texas,71,2,1,2023,2
Houston,75,1,Miami (FL),89,5,1,2023,3
Xavier,71,3,Texas,83,2,1,2023,3
Miami (FL),88,5,Texas,81,2,0,2023,4
San Diego St.,72,5,Fla. Atlantic,71,9,0,2023,5
San Diego St.,59,5,UConn,76,4,1,2023,6
Miami (FL),59,5,UConn,72,4,1,2023,5
Purdue,58,1,FDU,63,16,1,2023,1
Memphis,65,8,Fla. Atlantic,66,9,1,2023,1
Duke,74,5,Oral Roberts,51,12,0,2023,1
Tennessee,58,4,Louisiana,55,13,0,2023,1
Kentucky,61,6,Providence,53,11,0,2023,1
Kansas St.,77,3,Montana St.,65,14,0,2023,1
Michigan St.,72,7,Southern California,62,10,0,2023,1
Marquette,78,2,Vermont,61,15,0,2023,1
FDU,70,16,Fla. Atlantic,78,9,1,2023,2
Duke,52,5,Tennessee,65,4,1,2023,2
Kentucky,69,6,Kansas St.,75,3,1,2023,2
Michigan St.,69,7,Marquette,60,2,0,2023,2
Fla. Atlantic,62,9,Tennessee,55,4,0,2023,3
Kansas St.,98,3,Michigan St.,93,7,0,2023,3
Fla. Atlantic,79,9,Kansas St.,76,3,0,2023,4
Kansas,96,1,Howard,68,16,0,2023,1
Arkansas,73,8,Illinois,63,9,0,2023,1
Saint Mary's (CA),63,5,VCU,51,12,0,2023,1
UConn,87,4,Iona,63,13,0,2023,1
TCU,72,6,Arizona St.,70,11,0,2023,1
Gonzaga,82,3,Grand Canyon,70,14,0,2023,1
Northwestern,75,7,Boise St.,67,10,0,2023,1
UCLA,86,2,UNC Asheville,53,15,0,2023,1
Kansas,71,1,Arkansas,72,8,1,2023,2
Saint Mary's (CA),55,5,UConn,70,4,1,2023,2
TCU,81,6,Gonzaga,84,3,1,2023,2
Northwestern,63,7,UCLA,68,2,1,2023,2
Arkansas,65,8,UConn,88,4,1,2023,3
Gonzaga,79,3,UCLA,76,2,0,2023,3
UConn,82,4,Gonzaga,54,3,0,2023,4
A&amp;M-Corpus Christi,75,16,Southeast Mo. St.,71,16,0,2023,0
Texas Southern,61,16,FDU,84,16,1,2023,0
Arizona St.,98,11,Nevada,73,11,0,2023,0
Mississippi St.,59,11,Pittsburgh,60,11,1,2023,0
